name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region,calories,protein_g,fat_g,carbs_g,match_food,match_score
Balu shahi,"Maida flour, yogurt, oil, sugar",vegetarian,45,25,sweet,dessert,West Bengal,East,220.0,10.0,17.0,8.0,,
Boondi,"Gram flour, ghee, sugar",vegetarian,80,30,sweet,dessert,Rajasthan,West,,,,,,
Gajar ka halwa,"Carrots, milk, sugar, ghee, cashews, raisins",vegetarian,15,60,sweet,dessert,Punjab,North,260.0,4.0,12.0,36.0,,
Ghevar,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom",vegetarian,15,30,sweet,dessert,Rajasthan,West,,,,,,
Gulab jamun,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",vegetarian,15,40,sweet,dessert,West Bengal,East,330.0,5.0,14.0,46.0,,
Imarti,"Sugar syrup, lentil flour",vegetarian,10,50,sweet,dessert,West Bengal,East,,,,,,
Jalebi,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",vegetarian,10,50,sweet,dessert,Uttar Pradesh,North,380.0,2.0,15.0,58.0,,
Kaju katli,"Cashews, ghee, cardamom, sugar",vegetarian,10,20,sweet,dessert,-1,-1,,,,,,
Kalakand,"Milk, cottage cheese, sugar",vegetarian,20,30,sweet,dessert,West Bengal,East,,,,,,
Kheer,"Milk, rice, sugar, dried fruits",vegetarian,10,40,sweet,dessert,-1,-1,120.0,3.0,4.0,18.0,,
Laddu,"Gram flour, ghee, sugar",vegetarian,10,40,sweet,dessert,-1,-1,320.0,5.0,15.0,40.0,,
Lassi,"Yogurt, milk, nuts, sugar",vegetarian,5,5,sweet,dessert,Punjab,North,95.0,3.5,3.0,13.0,,
Nankhatai,"Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom",vegetarian,20,30,sweet,dessert,-1,-1,,,,,,
Petha,"Firm white pumpkin, sugar, kitchen lime, alum powder",vegetarian,10,30,sweet,dessert,Uttar Pradesh,North,,,,,,
Phirni,"Rice, sugar, nuts",vegetarian,30,20,sweet,dessert,Odisha,East,120.0,3.0,4.0,18.0,,
Rabri,"Condensed milk, sugar, spices, nuts",vegetarian,10,45,sweet,dessert,Uttar Pradesh,North,195.0,6.0,10.0,20.0,,
